threshold,recall,f2,f1,precision,accuracy,roc_auc,average_precision,brier,tp,tn,fp,fn,meets_min_recall
0.05,1.0,0.38364628767157044,0.19934538528637394,0.11070717485600512,0.11070717485600512,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,0,100049,0,True
0.06,1.0,0.38364628767157044,0.19934538528637394,0.11070717485600512,0.11070717485600512,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,0,100049,0,True
0.07,1.0,0.38364628767157044,0.19934538528637394,0.11070717485600512,0.11070717485600512,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,0,100049,0,True
0.08,1.0,0.38364628767157044,0.19934538528637394,0.11070717485600512,0.11070717485600512,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,0,100049,0,True
0.09,1.0,0.38364628767157044,0.19934538528637394,0.11070717485600512,0.11070717485600512,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,0,100049,0,True
0.09999999999999999,1.0,0.38364628767157044,0.19934538528637394,0.11070717485600512,0.11070717485600512,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,0,100049,0,True
0.10999999999999999,1.0,0.38364628767157044,0.19934538528637394,0.11070717485600512,0.11070717485600512,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,0,100049,0,True
0.12,1.0,0.38364628767157044,0.19934538528637394,0.11070717485600512,0.11070717485600512,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,0,100049,0,True
0.13,1.0,0.38364628767157044,0.19934538528637394,0.11070717485600512,0.11070717485600512,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,0,100049,0,True
0.13999999999999999,1.0,0.38364628767157044,0.19934538528637394,0.11070717485600512,0.11070717485600512,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,0,100049,0,True
0.14999999999999997,1.0,0.38364628767157044,0.19934538528637394,0.11070717485600512,0.11070717485600512,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,0,100049,0,True
0.15999999999999998,1.0,0.38364628767157044,0.19934538528637394,0.11070717485600512,0.11070717485600512,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,0,100049,0,True
0.16999999999999998,1.0,0.38364628767157044,0.19934538528637394,0.11070717485600512,0.11070717485600512,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,0,100049,0,True
0.18,1.0,0.383662832605334,0.19935655291631987,0.11071406348613741,0.11076939486596032,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,7,100042,0,True
0.19,1.0,0.38367465128887573,0.19936453056095785,0.11071898446111723,0.11081383773021404,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,12,100037,0,True
0.19999999999999996,1.0,0.38371011170878083,0.19938846732622548,0.11073375001111338,0.11094716632297519,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,27,100022,0,True
0.20999999999999996,1.0,0.38376213218302263,0.19942358498118645,0.11075541327642167,0.11114271492569153,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,49,100000,0,True
0.21999999999999997,1.0,0.3838567510093383,0.19948746696564426,0.11079482275497042,0.11149825783972125,0.6759571210347797,0.2760353329691605,0.21420413659818285,12455,89,99960,0,True
0.22999999999999998,0.9997591328783622,0.38391811062465314,0.19954328752854453,0.1108322207387628,0.1120226836379151,0.6759571210347797,0.2760353329691605,0.21420413659818285,12452,151,99898,3,True
0.24,0.9994379767161783,0.3840552881648772,0.19965515858695215,0.11090520313613685,0.11292931806869089,0.6759571210347797,0.2760353329691605,0.21420413659818285,12448,257,99792,7,True
