municipio-id,municipio-nome,mesorregiao-id,mesorregiao-nome,microrregiao-id,microrregiao-nome,regiao-imediata-id,regiao-imediata-nome,regiao-intermediaria-id,regiao-intermediaria-nome,UF-id,UF-sigla,UF-nome,regiao-id,regiao-sigla,regiao-nome
1100015,Alta Floresta D'Oeste,1102,Leste Rondoniense,11006,Cacoal,110005,Cacoal,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100023,Ariquemes,1102,Leste Rondoniense,11003,Ariquemes,110002,Ariquemes,1101,Porto Velho,11,RO,Rondônia,1,N,Norte
1100031,Cabixi,1102,Leste Rondoniense,11008,Colorado do Oeste,110006,Vilhena,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100049,Cacoal,1102,Leste Rondoniense,11006,Cacoal,110005,Cacoal,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100056,Cerejeiras,1102,Leste Rondoniense,11008,Colorado do Oeste,110006,Vilhena,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100064,Colorado do Oeste,1102,Leste Rondoniense,11008,Colorado do Oeste,110006,Vilhena,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100072,Corumbiara,1102,Leste Rondoniense,11008,Colorado do Oeste,110006,Vilhena,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100080,Costa Marques,1101,Madeira-Guaporé,11002,Guajará-Mirim,110004,Ji-Paraná,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100098,Espigão D'Oeste,1102,Leste Rondoniense,11006,Cacoal,110005,Cacoal,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100106,Guajará-Mirim,1101,Madeira-Guaporé,11002,Guajará-Mirim,110001,Porto Velho,1101,Porto Velho,11,RO,Rondônia,1,N,Norte
1100114,Jaru,1102,Leste Rondoniense,11004,Ji-Paraná,110003,Jaru,1101,Porto Velho,11,RO,Rondônia,1,N,Norte
1100122,Ji-Paraná,1102,Leste Rondoniense,11004,Ji-Paraná,110004,Ji-Paraná,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100130,Machadinho D'Oeste,1102,Leste Rondoniense,11003,Ariquemes,110003,Jaru,1101,Porto Velho,11,RO,Rondônia,1,N,Norte
1100148,Nova Brasilândia D'Oeste,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110005,Cacoal,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100155,Ouro Preto do Oeste,1102,Leste Rondoniense,11004,Ji-Paraná,110004,Ji-Paraná,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100189,Pimenta Bueno,1102,Leste Rondoniense,11007,Vilhena,110005,Cacoal,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100205,Porto Velho,1101,Madeira-Guaporé,11001,Porto Velho,110001,Porto Velho,1101,Porto Velho,11,RO,Rondônia,1,N,Norte
1100254,Presidente Médici,1102,Leste Rondoniense,11004,Ji-Paraná,110004,Ji-Paraná,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100262,Rio Crespo,1102,Leste Rondoniense,11003,Ariquemes,110002,Ariquemes,1101,Porto Velho,11,RO,Rondônia,1,N,Norte
1100288,Rolim de Moura,1102,Leste Rondoniense,11006,Cacoal,110005,Cacoal,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100296,Santa Luzia D'Oeste,1102,Leste Rondoniense,11006,Cacoal,110005,Cacoal,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100304,Vilhena,1102,Leste Rondoniense,11007,Vilhena,110006,Vilhena,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100320,São Miguel do Guaporé,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110004,Ji-Paraná,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100338,Nova Mamoré,1101,Madeira-Guaporé,11001,Porto Velho,110001,Porto Velho,1101,Porto Velho,11,RO,Rondônia,1,N,Norte
1100346,Alvorada D'Oeste,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110004,Ji-Paraná,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100379,Alto Alegre dos Parecis,1102,Leste Rondoniense,11006,Cacoal,110005,Cacoal,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100403,Alto Paraíso,1102,Leste Rondoniense,11003,Ariquemes,110002,Ariquemes,1101,Porto Velho,11,RO,Rondônia,1,N,Norte
1100452,Buritis,1101,Madeira-Guaporé,11001,Porto Velho,110002,Ariquemes,1101,Porto Velho,11,RO,Rondônia,1,N,Norte
1100502,Novo Horizonte do Oeste,1102,Leste Rondoniense,11006,Cacoal,110005,Cacoal,1102,Ji-Paraná,11,RO,Rondônia,1,N,Norte
1100601,Cacaulândia,1102,Leste Rondoniense,11003,Ariquemes,110002,Ariquemes,1101,Porto Velho,11,RO,Rondônia,1,N,Norte
1100700,Campo Novo de Rondônia,1101,Madeira-Guaporé,11001,Porto Velho,110002,Ariquemes,1101,Porto Velho,11,RO,Rondônia,1,N,Norte
